code,name,appear_count,avg_buy_count,max_buy_count,avg_fund,max_fund,total_fund,score,layer
000547,航天发展,58,81.70689655172414,193,1719.533472413793,4610.450000000003,99732.9414,52.87066938275863,高频核心
300058,蓝色光标,48,50.66666666666666,119,1246.9683083333334,4629.367799999999,59854.4788,38.14090492500001,高频核心
000592,平潭发展,48,42.04166666666666,88,784.6555041666667,2130.6509999999994,37663.4642,34.1664665125,高频核心
002792,通宇通讯,49,34.326530612244895,101,1351.615963265306,5594.656999999997,66229.1822,33.95280707346939,高频核心
603778,国晟科技,58,20.56896551724138,50,1488.807551724138,3479.6900000000005,86350.838,33.83711231034483,高频核心
301005,超捷股份,55,20.69090909090909,44,510.15802909090905,2278.7599999999984,28058.6916,29.737746814545453,高频核心
603516,淳中科技,47,11.76595744680851,24,2452.94270212766,4267.1900000000005,115288.307,29.68861534042553,高频核心
600343,航天动力,49,23.59183673469388,56,967.8777632653062,3383.57,47426.0104,29.58118431020408,高频核心
300102,乾照光电,52,23.65384615384616,60,529.5500403846154,2720.389999999999,27536.6021,29.48480396730769,高频核心
688110,东芯股份,58,12.810344827586206,31,581.6491379310345,1938.99,33735.65,28.788050862068967,高频核心
002149,西部材料,43,30.46511627906977,76,668.4897906976745,3011.510000000001,28745.061,28.345004255813954,高频核心
600879,航天电子,45,25.42222222222222,79,514.9232000000001,2331.190000000001,23171.544,27.171436266666664,高频核心
300342,天银机电,45,20.355555555555554,52,485.7994577777778,1909.76,21860.9756,25.56406504,高频核心
600498,烽火通信,40,20.05,81,492.35265,2296.3699999999994,19694.106,23.49205795,高频核心
300456,赛微电子,41,18.390243902439025,39,302.8778048780488,776.9999999999998,12417.99,22.82570658536585,高频核心
300475,香农芯创,41,12.46341463414634,27,377.55807317073175,1727.8300000000006,15479.881,21.2716986097561,高频核心
002050,三花智控,41,13.731707317073171,42,233.3737609756097,2617.5900000000006,9568.3242,21.219633478048785,高频核心
300136,信维通信,39,66.28205128205128,123,2575.7036666666663,6800.770000000002,100452.44299999998,43.21172638461538,中频活跃
002131,利欧股份,33,48.21212121212121,123,1411.8145909090908,4759.919999999998,46589.8815,31.89908013636364,中频活跃
600986,浙文互联,26,45.96153846153846,118,1175.8712692307693,4332.23,30572.653,27.716075346153847,中频活跃
600693,东百集团,24,49.458333333333336,160,881.3660499999997,4484.279999999999,21152.785199999995,27.08159815,中频活跃
002361,神剑股份,31,40.25806451612903,127,566.8000870967741,1946.3099999999988,17570.802699999997,26.17781961612903,中频活跃
002565,顺灏股份,37,32.054054054054056,100,542.8168243243243,2145.01,20084.2225,26.04466668918919,中频活跃
002202,金风科技,35,26.37142857142857,107,622.0425200000001,4296.050000000002,21771.488200000003,23.77755613142857,中频活跃
002465,海格通信,26,33.42307692307692,134,731.673676923077,4141.22,19023.5156,22.621944107692304,中频活跃
600118,中国卫星,38,20.42105263157895,59,327.2357447368421,984.9399999999998,12434.9583,22.30802302368421,中频活跃
603601,再升科技,35,24.31428571428572,65,274.2951857142857,945.88,9600.3315,22.11717127142857,中频活跃
600151,航天机电,32,25.0625,97,464.54569375,1895.7490000000007,14865.4622,21.71238708125,中频活跃
002837,英维克,36,18.80555555555556,74,512.6961111111111,1424.0399999999995,18457.06,21.579755,中频活跃
300986,志特新材,28,24.464285714285715,40,857.6473571428571,2663.67,24014.126,21.112227785714285,中频活跃
301171,易点天下,30,22.53333333333333,59,565.76069,2456.1807000000003,16972.8207,20.45728207,中频活跃
002703,浙江世宝,24,31.625,77,442.1819958333333,1688.7199999999991,10612.367899999996,20.4140459875,中频活跃
002413,雷科防务,35,18.228571428571428,68,290.10766571428576,2197.8100000000004,10153.768300000002,20.338894425714287,中频活跃
603122,合富中国,29,25.517241379310345,71,360.88434482758623,1423.4499999999996,10465.646,20.337825448275865,中频活跃
001208,华菱线缆,25,27.48,68,622.908524,1895.3900000000008,15572.7131,20.112725572,中频活跃
002759,天际股份,25,24.88,94,868.2403199999998,5335.829999999995,21706.007999999994,20.06872096,中频活跃
300442,润泽科技,28,20.75,49,809.0771428571428,3411.750000000001,22654.16,19.85223142857143,中频活跃
002639,雪人集团,28,23.464285714285715,119,246.3061392857143,1182.4099999999996,6896.5719,18.978204132142857,中频活跃
002788,鹭燕医药,22,28.63636363636364,59,453.7525,1012.94,9982.555,18.75216659090909,中频活跃
300762,上海瀚讯,34,14.117647058823527,31,294.08911764705886,1136.89,9999.03,18.71756147058824,中频活跃
002342,巨力索具,26,23.07692307692308,67,395.56464230769234,1748.3590000000002,10284.6807,18.50977085,中频活跃
300115,长盈精密,27,18.925925925925927,36,667.2185185185184,1420.2699999999998,18014.9,18.479433333333333,中频活跃
300548,长芯博创,35,10.371428571428572,35,328.91828571428573,979.5300000000004,11512.14,18.098183428571428,中频活跃
300308,中际旭创,34,9.588235294117649,18,440.58,1101.0300000000002,14979.72,17.798210588235293,中频活跃
603667,五洲新春,31,14.225806451612904,42,280.1993096774193,1126.6300000000003,8686.1786,17.508339864516127,中频活跃
301308,江波龙,34,9.529411764705882,19,332.4588235294118,1038.4900000000002,11303.6,17.456200000000003,中频活跃
688270,臻镭科技,32,10.4375,17,495.785271875,1001.5331,15865.1287,17.418605815625,中频活跃
601138,工业富联,36,8.277777777777779,15,169.38076666666666,676.4374999999999,6097.7076,17.391475633333332,中频活跃
300300,海峡创新,28,14.5,24,289.21011785714285,724.3999999999997,8097.883299999999,16.41763035357143,中频活跃
000559,万向钱潮,26,17.5,49,238.225,1466.0700000000002,6193.85,16.364675000000002,中频活跃
300604,长川科技,29,10.413793103448276,16,392.3481034482758,1336.62,11378.095,15.901182241379312,中频活跃
000681,视觉中国,24,15.708333333333334,78,377.40375,2170.3040000000005,9057.69,15.44471125,中频活跃
300394,天孚通信,29,8.275862068965518,16,330.30131034482764,843.57,9578.738,15.07366255172414,中频活跃
002009,天奇股份,24,15.958333333333334,66,183.1760583333333,837.8100000000006,4396.2254,14.937028175000002,中频活跃
600589,大位科技,21,16.80952380952381,76,470.63479047619046,1331.78,9883.3306,14.854761514285714,中频活跃
300418,昆仑万维,27,9.37037037037037,22,377.6292592592592,1725.5000000000005,10195.99,14.743998888888887,中频活跃
300502,新易盛,25,9.08,22,576.0499000000001,1386.3000000000002,14401.2475,14.4521497,中频活跃
300620,光库科技,25,11.2,25,246.6636,1093.35,6166.59,14.0999908,中频活跃
000859,国风新材,24,12.416666666666666,40,256.0397666666667,873.44,6144.9544000000005,14.0931193,中频活跃
301232,飞沃科技,27,8.518518518518519,13,241.88629629629628,971.66,6530.929999999999,14.081214444444443,中频活跃
603986,兆易创新,22,11.772727272727272,28,534.6164590909091,1893.13,11761.5621,13.93566755909091,中频活跃
001270,*ST铖昌,27,8.37037037037037,16,158.198,337.11,4271.3460000000005,13.785705111111112,中频活跃
300503,昊志机电,20,16.8,34,185.640775,455.09,3712.8155,13.596922325,中频活跃
300476,胜宏科技,24,10.125,26,314.10654166666666,958.13,7538.557,13.579819625,中频活跃
300223,北京君正,23,10.130434782608695,23,435.19608695652175,1315.39,10009.51,13.544718695652174,中频活跃
300377,赢时胜,20,15.3,38,295.87522,2503.9100000000003,5917.5044,13.47762566,中频活跃
000070,特发信息,20,15.2,41,138.16469999999998,730.9599999999999,2763.294,12.9744941,中频活跃
300017,网宿科技,15,54.06666666666667,71,1737.0126666666667,4092.18,26055.19,27.431038,低频爆发
601933,永辉超市,19,40.42105263157895,108,849.8974631578947,2501.72,16148.0518,22.276008178947368,低频爆发
002195,岩山科技,19,35.89473684210526,113,597.1105263157895,2344.03,11345.1,20.159752631578947,低频爆发
002536,飞龙股份,13,38.0,90,1155.0152230769231,4850.060000000001,15015.197900000005,20.06504566923077,低频爆发
600865,百大集团,11,43.18181818181818,87,564.2922636363636,1759.05,6207.2149,19.04742224545454,低频爆发
300182,捷成股份,5,41.0,60,1111.1075,2200.17,5555.5375,17.6333225,低频爆发
301123,奕东电子,19,25.26315789473684,45,593.526447368421,1620.8699999999997,11277.0025,16.959526710526315,低频爆发
600783,鲁信创投,18,22.72222222222222,48,475.73033333333336,3702.89,8563.146,15.443857666666666,低频爆发
002228,合兴包装,9,31.666666666666668,62,780.2595555555554,1582.966,7022.335999999998,15.440778666666668,低频爆发
002757,南兴股份,11,30.545454545454547,60,359.9136363636364,1178.4900000000002,3959.05,14.643377272727273,低频爆发
002156,通富微电,11,27.09090909090909,72,663.3566909090911,3308.823600000002,7296.923600000002,14.517342800000002,低频爆发
002163,海南发展,18,19.61111111111111,85,363.2730222222223,1962.3400000000013,6538.9144000000015,14.1731524,低频爆发
002506,协鑫集成,10,29.0,47,418.21158,1704.65,4182.1158000000005,13.95463474,低频爆发
300364,中文在线,14,23.071428571428573,73,440.3911571428572,1390.9860000000003,6165.476200000001,13.842602042857145,低频爆发
000066,中国长城,17,17.41176470588235,86,595.8148235294118,1641.6300000000003,10128.852,13.810973882352942,低频爆发
601698,中国卫通,17,17.352941176470587,35,541.380411764706,1866.63,9203.467,13.630023588235296,低频爆发
002044,美年健康,13,24.07692307692308,79,370.8415384615385,1285.7699999999998,4820.94,13.535601538461538,低频爆发
600734,实达集团,16,20.125,65,306.098125,1023.4299999999998,4897.57,13.355794375,低频爆发
002151,北斗星通,9,26.444444444444443,48,564.8077777777778,1185.59,5083.27,13.227756666666666,低频爆发
600266,城建发展,14,21.642857142857142,51,335.84607142857146,1114.1350000000004,4701.845,13.100395357142858,低频爆发
300346,南大光电,19,13.736842105263158,34,391.6473684210527,1347.31,7441.3,12.895994736842106,低频爆发
002400,省广集团,19,15.263157894736842,42,235.7968421052632,1292.36,4480.14,12.886337894736842,低频爆发
002931,锋龙股份,16,15.4375,27,614.39323125,1883.89,9830.2917,12.87442969375,低频爆发
300409,道氏技术,8,24.125,52,803.93835,2639.95,6431.5068,12.84931505,低频爆发
603278,大业股份,13,21.07692307692308,44,419.0230769230769,1252.8300000000002,5447.3,12.780146153846154,低频爆发
002119,康强电子,15,19.666666666666668,48,273.96666666666664,693.31,4109.5,12.7219,低频爆发
002173,创新医疗,5,26.8,49,875.604,1259.16,4378.02,12.666812,低频爆发
300118,东方日升,17,16.11764705882353,54,330.46294117647057,1670.18,5617.87,12.626682941176472,低频爆发
601399,国机重装,17,16.470588235294116,34,266.1835882352941,740.616,4525.121,12.53972723529412,低频爆发
000551,创元科技,6,28.166666666666668,65,504.8866666666666,1223.7999999999995,3029.32,12.36466,低频爆发
600637,东方明珠,8,22.25,46,828.9525,1849.87,6631.62,12.3618575,低频爆发
603696,安记食品,15,18.666666666666668,58,198.33266666666668,547.6300000000001,2974.99,12.194998000000002,低频爆发
300065,海兰信,16,16.9375,42,212.12046875000004,1174.4200000000003,3393.9275000000007,12.11761140625,低频爆发
001330,博纳影业,15,17.0,50,296.98133333333334,1009.95,4454.72,11.990944,低频爆发
002347,泰尔股份,11,23.63636363636364,51,156.10272727272726,520.0799999999999,1717.13,11.959217272727274,低频爆发
002474,榕基软件,10,23.2,53,281.0978099999999,1114.7699999999993,2810.9781,11.80329343,低频爆发
603618,杭电股份,9,21.0,45,546.434,1920.4300000000003,4917.906,11.539302,低频爆发
001331,胜通能源,16,15.125,32,175.935625,397.44999999999993,2814.97,11.465306875,低频爆发
300900,广联航空,19,9.63157894736842,16,307.5563157894737,826.5399999999998,5843.57,11.412142631578948,低频爆发
301611,珂玛科技,19,10.842105263157896,20,182.79077894736844,601.3899999999999,3473.0248,11.401003915789474,低频爆发
920576,天力复合,16,13.5,26,292.932925,1087.08,4686.9268,11.328798775,低频爆发
002702,海欣食品,18,12.166666666666666,24,146.82655555555556,388.22,2642.878,11.290479666666666,低频爆发
603698,航天工程,16,12.5,36,371.509625,957.46,5944.154,11.264528875,低频爆发
000063,中兴通讯,11,13.636363636363637,29,910.4018181818182,1594.2900000000002,10014.42,11.222114545454549,低频爆发
002519,银河电子,18,12.27777777777778,29,100.54683333333332,239.51,1809.843,11.184973833333332,低频爆发
603000,人民网,7,23.857142857142858,47,406.9025,1427.7399999999998,2848.3175,11.177850357142855,低频爆发
002995,天地在线,14,15.642857142857142,42,268.3942857142857,822.5099999999999,3757.52,11.09804,低频爆发
600105,永鼎股份,19,9.31578947368421,13,223.3426842105264,740.5699999999999,4243.511,11.064764894736845,低频爆发
002317,众生药业,15,10.866666666666667,20,586.198,1217.86,8792.97,11.018594,低频爆发
603123,翠微股份,9,21.11111111111111,46,356.3900000000001,892.0500000000002,3207.5100000000007,11.002503333333332,低频爆发
001369,N双欣,1,68.0,68,418.75999999999993,418.75999999999993,418.75999999999993,22.05628,次新股
603352,N至信,1,59.0,59,575.4800000000002,575.4800000000002,575.4800000000002,19.82644,次新股
603533,掌阅科技,1,46.0,46,1136.9500000000005,1136.9500000000005,1136.9500000000005,17.61085,次新股
301667,N纳百川,1,43.0,43,751.0899999999997,751.0899999999997,751.0899999999997,15.55327,次新股
301687,N新广益,1,36.0,36,472.82,472.82,472.82,12.61846,次新股
300699,光威复材,1,26.0,26,957.17,957.17,957.17,11.07151,次新股
301667,C纳百川,4,26.0,36,325.93249999999995,374.8200000000001,1303.7299999999998,10.3777975,次新股
601899,紫金矿业,4,8.5,11,2029.675,2495.29,8118.7,10.239025,次新股
688818,N电科,1,19.0,19,1274.3527000000004,1274.3527000000004,1274.3527000000004,9.923058100000002,次新股
301687,C新广益,3,24.33333333333333,28,335.0633333333334,513.8000000000001,1005.1900000000002,9.50519,次新股
603248,N锡华,1,27.0,27,273.11999999999995,273.11999999999995,273.11999999999995,9.31936,次新股
600755,厦门国贸,4,22.5,30,249.1745,356.84000000000003,996.698,9.0975235,次新股
002251,步步高,1,24.0,24,396.158,396.158,396.158,8.788473999999999,次新股
301449,C天溯,3,21.666666666666668,27,335.63,584.7099999999999,1006.89,8.70689,次新股
002272,川润股份,3,19.666666666666668,33,468.57666666666654,956.6599999999996,1405.7299999999996,8.50573,次新股
001280,N中国铀,1,23.0,23,359.01000000000005,359.01000000000005,359.01000000000005,8.37703,次新股
600775,南京熊猫,2,23.0,29,209.86999999999995,270.15,419.7399999999999,8.329609999999999,次新股
601112,N振石,1,25.0,25,94.47,94.47,94.47,8.18341,次新股
301638,C南网数,1,14.0,14,1190.58,1190.58,1190.58,8.17174,次新股
301449,N天溯,1,21.0,21,441.1999999999999,441.1999999999999,441.1999999999999,8.0236,次新股
300446,航天智造,3,18.666666666666668,33,379.26666666666665,908.27,1137.8,7.937800000000001,次新股
002697,红旗连锁,2,22.0,31,146.675,242.94,293.35,7.840025,次新股
300753,爱朋医疗,1,20.0,20,457.9700000000001,457.9700000000001,457.9700000000001,7.773910000000001,次新股
600733,北汽蓝谷,2,19.0,25,407.255,728.9599999999999,814.5099999999999,7.721764999999999,次新股
301363,美好医疗,2,19.0,25,370.97,479.65,741.94,7.61291,次新股
920207,众诚科技,4,15.5,24,436.732225,842.8799999999998,1746.9289,7.560196675,次新股
300885,海昌新材,4,16.25,23,349.49250000000006,625.1600000000001,1397.9700000000005,7.5234775,次新股
002766,索菱股份,3,19.666666666666668,24,128.3277,201.4331,384.9831,7.484983100000001,次新股
603703,盛洋科技,4,15.0,33,455.9175,1222.28,1823.67,7.4677525,次新股
603402,C陕旅,3,17.0,24,334.2233333333333,564.1099999999999,1002.6699999999998,7.30267,次新股
600662,外服控股,1,17.0,17,566.38,566.38,566.38,7.19914,次新股
002735,王子新材,4,16.25,21,237.89915,736.0665999999998,951.5965999999996,7.188697449999999,次新股
301511,德福科技,3,12.0,18,748.6539333333334,1076.4160000000002,2245.9618,7.0459618,次新股
